tier,label,width,height,pixels,cycles,emu_ms,accessed_addrs
nightly,series_256x256,256,256,65536,5518251,385.97,53153
nightly,series_512x512,512,512,262144,20964267,1474.23,151457
nightly,series_1024x1024,1024,1024,1048576,82748332,5689.39,544673
nightly,series_2048x2048,2048,2048,4194304,332244154,22721.92,2903969
nightly,series_4096x4096,4096,4096,16777216,1330226632,94277.41,12341153
